      localhos   PRTAB(31DEC16)    1555               05-MAR-2018   21:49:22               Page    1
CALSFEB27   .ELWA  .   1  Disk= 2    SN Table version   2
Title: AIPS UV DATA FILE SOLUTION TABLE
 
Created by      FRING on 05-MAR-2018 13:24:25
Last written by FRING on 05-MAR-2018 15:14:49
Ncol 26  Nrow 2222    Sort cols:
    Table has     8 keyword-value pairs:
   NO_ANT   =           52
   NO_POL   =            2
   NO_IF    =            1
   NO_NODES =            0
   MGMOD    =  1.0000000000000D+00
   APPLIED  =  F
   REVISION =           11
   SNORIGIN =            0
   Table can be written as a FITS ASCII table
 
COL. NO.       1           2          3          4         5        6        7         8        9        10       11       12
     ROW  TIME        TIME INTER  SOURCE ID  ANTENNA   SUBARRAY  FREQ ID  I.FAR.R  NODE NO.  MBDELAY  DISP 1   DDISP 1  REAL1
  NUMBER  D/HMS       D/HMS                                               RAD/M**2           SECONDS  SEC/M**2 S/S/M**2
 
       1  04:53:55.0  00:01:05.0      3          1         1        1       0.000      0       0.000    0.000    0.000   0.7659
       2  04:53:55.0  00:01:05.0      3          2         1        1       0.000      0       0.000    0.000    0.000   0.6935
       3  04:53:55.0  00:01:05.0      3          3         1        1       0.000      0       0.000    0.000    0.000  -0.2865
       4  04:53:55.0  00:01:05.0      3          4         1        1       0.000      0       0.000    0.000    0.000   0.0075
       5  04:53:55.0  00:01:05.0      3          5         1        1       0.000      0       0.000    0.000    0.000  -0.4906
       6  04:53:55.0  00:01:05.0      3          6         1        1       0.000      0       0.000    0.000    0.000  -0.7691
       7  04:53:55.0  00:01:05.0      3          7         1        1       0.000      0       0.000    0.000    0.000  -0.8514
       8  04:53:55.0  00:01:05.0      3          8         1        1       0.000      0       0.000    0.000    0.000   0.9912
       9  04:53:55.0  00:01:05.0      3          9         1        1       0.000      0       0.000    0.000    0.000  -0.1240
      10  04:53:55.0  00:01:05.0      3         10         1        1       0.000      0       0.000    0.000    0.000   1.0000
      11  04:53:55.0  00:01:05.0      3         11         1        1       0.000      0       0.000    0.000    0.000   0.8763
      12  04:53:55.0  00:01:05.0      3         12         1        1       0.000      0       0.000    0.000    0.000   0.9914
      13  04:53:55.0  00:01:05.0      3         14         1        1       0.000      0       0.000    0.000    0.000  -0.9292
      14  04:53:55.0  00:01:05.0      3         18         1        1       0.000      0       0.000    0.000    0.000  -0.8496
      15  04:53:55.0  00:01:05.0      3         19         1        1       0.000      0       0.000    0.000    0.000   0.5435
      16  04:53:55.0  00:01:05.0      3         20         1        1       0.000      0       0.000    0.000    0.000   0.5403
      17  04:53:55.0  00:01:05.0      3         23         1        1       0.000      0       0.000    0.000    0.000  -0.7044
      18  04:53:55.0  00:01:05.0      3         24         1        1       0.000      0       0.000    0.000    0.000   0.8742
      19  04:53:55.0  00:01:05.0      3         25         1        1       0.000      0       0.000    0.000    0.000  -0.2101
      20  04:53:55.0  00:01:05.0      3         27         1        1       0.000      0       0.000    0.000    0.000  -0.9501
      21  04:53:55.0  00:01:05.0      3         51         1        1       0.000      0       0.000    0.000    0.000   1.0000
      22  04:53:55.0  00:01:05.0      3         52         1        1       0.000      0       0.000    0.000    0.000  -0.7185
      23  04:55:00.5  00:01:04.0      3          1         1        1       0.000      0       0.000    0.000    0.000   0.7446
      24  04:55:00.5  00:01:04.0      3          2         1        1       0.000      0       0.000    0.000    0.000   0.4547
      25  04:55:00.5  00:01:04.0      3          3         1        1       0.000      0       0.000    0.000    0.000   0.2489
      26  04:55:00.5  00:01:04.0      3          4         1        1       0.000      0       0.000    0.000    0.000  -0.8090
      27  04:55:00.5  00:01:04.0      3          5         1        1       0.000      0       0.000    0.000    0.000  -0.7273
      28  04:55:00.5  00:01:04.0      3          6         1        1       0.000      0       0.000    0.000    0.000   0.6723
      29  04:55:00.5  00:01:04.0      3          7         1        1       0.000      0       0.000    0.000    0.000  -0.3880
      30  04:55:00.5  00:01:04.0      3          8         1        1       0.000      0       0.000    0.000    0.000   0.4638
      31  04:55:00.5  00:01:04.0      3          9         1        1       0.000      0       0.000    0.000    0.000  -0.9899
      32  04:55:00.5  00:01:04.0      3         10         1        1       0.000      0       0.000    0.000    0.000   0.9812
      33  04:55:00.5  00:01:04.0      3         11         1        1       0.000      0       0.000    0.000    0.000  -0.0304
      34  04:55:00.5  00:01:04.0      3         12         1        1       0.000      0       0.000    0.000    0.000   0.2432
      35  04:55:00.5  00:01:04.0      3         14         1        1       0.000      0       0.000    0.000    0.000  -0.7893
      36  04:55:00.5  00:01:04.0      3         18         1        1       0.000      0       0.000    0.000    0.000  -0.0341
      37  04:55:00.5  00:01:04.0      3         19         1        1       0.000      0       0.000    0.000    0.000   0.6159
      localhos   PRTAB(31DEC16)    1555               05-MAR-2018   21:49:22               Page    2
     ROW  TIME        TIME INTER  SOURCE ID  ANTENNA   SUBARRAY  FREQ ID  I.FAR.R  NODE NO.  MBDELAY  DISP 1   DDISP 1  REAL1
  NUMBER  D/HMS       D/HMS                                               RAD/M**2           SECONDS  SEC/M**2 S/S/M**2
 
      38  04:55:00.5  00:01:04.0      3         20         1        1       0.000      0       0.000    0.000    0.000   0.6901
      39  04:55:00.5  00:01:04.0      3         23         1        1       0.000      0       0.000    0.000    0.000  -0.1943
      40  04:55:00.5  00:01:04.0      3         24         1        1       0.000      0       0.000    0.000    0.000   0.8965
      41  04:55:00.5  00:01:04.0      3         25         1        1       0.000      0       0.000    0.000    0.000  -0.9100
      42  04:55:00.5  00:01:04.0      3         27         1        1       0.000      0       0.000    0.000    0.000  -0.5544
