      localhos   PRTAB(31DEC16)    1555               06-MAR-2018   15:03:40               Page    1
CALSFEB27   .ELWA  .   1  Disk= 2    SN Table version   3
Title: AIPS UV DATA FILE SOLUTION TABLE
 
Created by      FRING on 06-MAR-2018 14:40:37
Last written by FRING on 06-MAR-2018 14:48:31
Ncol 26  Nrow 176    Sort cols:
    Table has     8 keyword-value pairs:
   NO_ANT   =           52
   NO_POL   =            2
   NO_IF    =            1
   NO_NODES =            0
   MGMOD    =  1.0000000000000D+00
   APPLIED  =  F
   REVISION =           11
   SNORIGIN =            0
   Table can be written as a FITS ASCII table
 
COL. NO.       1           2          3          4         5        6        7         8        9        10       11       12
     ROW  TIME        TIME INTER  SOURCE ID  ANTENNA   SUBARRAY  FREQ ID  I.FAR.R  NODE NO.  MBDELAY  DISP 1   DDISP 1  REAL1
  NUMBER  D/HMS       D/HMS                                               RAD/M**2           SECONDS  SEC/M**2 S/S/M**2
 
       1  04:30:08.9  00:01:05.0      2          1         1        1       0.000      0       0.000    0.000    0.000  -0.0273
       2  04:30:08.9  00:01:05.0      2          2         1        1       0.000      0       0.000    0.000    0.000  -0.7375
       3  04:30:08.9  00:01:05.0      2          3         1        1       0.000      0       0.000    0.000    0.000  -0.8934
       4  04:30:08.9  00:01:05.0      2          4         1        1       0.000      0       0.000    0.000    0.000  -1.0000
       5  04:30:08.9  00:01:05.0      2          5         1        1       0.000      0       0.000    0.000    0.000  -0.3461
       6  04:30:08.9  00:01:05.0      2          6         1        1       0.000      0       0.000    0.000    0.000   0.5571
       7  04:30:08.9  00:01:05.0      2          7         1        1       0.000      0       0.000    0.000    0.000   0.7893
       8  04:30:08.9  00:01:05.0      2          8         1        1       0.000      0       0.000    0.000    0.000  -0.4958
       9  04:30:08.9  00:01:05.0      2          9         1        1       0.000      0       0.000    0.000    0.000  -0.0464
      10  04:30:08.9  00:01:05.0      2         10         1        1       0.000      0       0.000    0.000    0.000  -0.6810
      11  04:30:08.9  00:01:05.0      2         11         1        1       0.000      0       0.000    0.000    0.000   0.4233
      12  04:30:08.9  00:01:05.0      2         12         1        1       0.000      0       0.000    0.000    0.000  -0.3110
      13  04:30:08.9  00:01:05.0      2         14         1        1       0.000      0       0.000    0.000    0.000   0.5633
      14  04:30:08.9  00:01:05.0      2         18         1        1       0.000      0       0.000    0.000    0.000  -0.9663
      15  04:30:08.9  00:01:05.0      2         19         1        1       0.000      0       0.000    0.000    0.000  -0.1481
      16  04:30:08.9  00:01:05.0      2         20         1        1       0.000      0       0.000    0.000    0.000   0.2235
      17  04:30:08.9  00:01:05.0      2         23         1        1       0.000      0       0.000    0.000    0.000  -0.6701
      18  04:30:08.9  00:01:05.0      2         24         1        1       0.000      0       0.000    0.000    0.000   0.6116
      19  04:30:08.9  00:01:05.0      2         25         1        1       0.000      0       0.000    0.000    0.000   0.9179
      20  04:30:08.9  00:01:05.0      2         27         1        1       0.000      0       0.000    0.000    0.000  -0.9954
      21  04:30:08.9  00:01:05.0      2         51         1        1       0.000      0       0.000    0.000    0.000   1.0000
      22  04:30:08.9  00:01:05.0      2         52         1        1       0.000      0       0.000    0.000    0.000   0.2867
      23  04:31:14.4  00:01:04.0      2          1         1        1       0.000      0       0.000    0.000    0.000  -0.4612
      24  04:31:14.4  00:01:04.0      2          2         1        1       0.000      0       0.000    0.000    0.000  -0.5970
      25  04:31:14.4  00:01:04.0      2          3         1        1       0.000      0       0.000    0.000    0.000  -0.6376
      26  04:31:14.4  00:01:04.0      2          4         1        1       0.000      0       0.000    0.000    0.000  -0.8236
      27  04:31:14.4  00:01:04.0      2          5         1        1       0.000      0       0.000    0.000    0.000  -0.1971
      28  04:31:14.4  00:01:04.0      2          6         1        1       0.000      0       0.000    0.000    0.000   0.7783
      29  04:31:14.4  00:01:04.0      2          7         1        1       0.000      0       0.000    0.000    0.000   0.9528
      30  04:31:14.4  00:01:04.0      2          8         1        1       0.000      0       0.000    0.000    0.000  -0.5935
      31  04:31:14.4  00:01:04.0      2          9         1        1       0.000      0       0.000    0.000    0.000  -0.4016
      32  04:31:14.4  00:01:04.0      2         10         1        1       0.000      0       0.000    0.000    0.000  -0.6408
      33  04:31:14.4  00:01:04.0      2         11         1        1       0.000      0       0.000    0.000    0.000  -0.0249
      34  04:31:14.4  00:01:04.0      2         12         1        1       0.000      0       0.000    0.000    0.000  -0.6236
      35  04:31:14.4  00:01:04.0      2         14         1        1       0.000      0       0.000    0.000    0.000   0.0048
      36  04:31:14.4  00:01:04.0      2         18         1        1       0.000      0       0.000    0.000    0.000  -0.7644
      37  04:31:14.4  00:01:04.0      2         19         1        1       0.000      0       0.000    0.000    0.000  -0.4818
      localhos   PRTAB(31DEC16)    1555               06-MAR-2018   15:03:40               Page    2
     ROW  TIME        TIME INTER  SOURCE ID  ANTENNA   SUBARRAY  FREQ ID  I.FAR.R  NODE NO.  MBDELAY  DISP 1   DDISP 1  REAL1
  NUMBER  D/HMS       D/HMS                                               RAD/M**2           SECONDS  SEC/M**2 S/S/M**2
 
      38  04:31:14.4  00:01:04.0      2         20         1        1       0.000      0       0.000    0.000    0.000   0.2508
      39  04:31:14.4  00:01:04.0      2         23         1        1       0.000      0       0.000    0.000    0.000  -0.4673
      40  04:31:14.4  00:01:04.0      2         24         1        1       0.000      0       0.000    0.000    0.000   0.5797
      41  04:31:14.4  00:01:04.0      2         25         1        1       0.000      0       0.000    0.000    0.000   0.9907
      42  04:31:14.4  00:01:04.0      2         27         1        1       0.000      0       0.000    0.000    0.000  -0.8887
